Tree_ID,species,infestation,type,water_potential,fresh_weight,water_potential_young,leaf_area,dry_weight
WPFL3E,fibrosa,low,eucalypt,2.1,7.926,,183.9,3.962
WPMH3E,moluccana,high,eucalypt,2.2,7.006,,155.1,3.513
WPML3E,moluccana,low,eucalypt,1.5,4.344,,100.9,2.014
WPMH4E,moluccana,high,eucalypt,1.7,5.777,,125.6,3.041
WPFL4E,fibrosa,low,eucalypt,1.75,7.215,,149.9,4.049
WPFH3M,fibrosa,high,mistletoe,2.35,3.799,,55.2,1.113
WPMELA4,melaleuca,control,melaleuca,2.65,7.032,,104.15,3.352
WPMELA2,melaleuca,control,melaleuca,2.5,4.326,,75.8,1.882
WPMELA3,melaleuca,control,melaleuca,2.65,6.86,,118.3,3.029
WPML1M,moluccana,low,mistletoe,2.65,3.201,,48.4,1.107
WPFL4M,fibrosa,low,mistletoe,2.15,5.021,,81.95,1.723
WPML1E,moluccana,low,eucalypt,3.05,5.369,,136.6,2.76
WPMC2,moluccana,control,eucalypt,2.65,9.979,,96.1,1.944
WPML2M,moluccana,low,mistletoe,2.55,4.392,,61.9,1.512
WPMC1,moluccana,control,eucalypt,2.75,4.178,,104.6,2.149
WPFH2M,fibrosa,high,mistletoe,2.7,4.177,,61,1.285
WPFL1M,fibrosa,low,mistletoe,2.05,3.876,,64.75,1.318
WPFC1,fibrosa,control,eucalypt,1.2,9.921,,207.05,5.016
WPFC2,fibrosa,control,eucalypt,2.2,9.752,,213.04,5.22
WPFC3,fibrosa,control,eucalypt,1.75,14.56,1.85,320.5,7.062
WPFC4,fibrosa,control,eucalypt,1.95,4.945,,102.48,2.536
WPFH1E,fibrosa,high,eucalypt,2.65,6.302,,151.3,3.103
WPFH1M,fibrosa,high,mistletoe,2.8,1.261,,24.28,0.483
WPFH2E,fibrosa,high,eucalypt,2.1,6.359,,134.16,3.467
WPMC4,moluccana,control,eucalypt,1.95,6.521,2.15,153,2.839
WPMC3,moluccana,control,eucalypt,1.9,4.175,,103.6,2.128
WPML2E,moluccana,low,eucalypt,2.8,8.432,,194.6,4.125
WPMH1M,moluccana,high,mistletoe,2.4,3.484,,52.1,1.014
WPMH1E,moluccana,high,eucalypt,1.55,4.246,,98.4,1.861
WPML3M,moluccana,low,mistletoe,2.2,8.486,,87.3,2.432
WPFL2M,fibrosa,low,mistletoe,2.05,8.352,,99.4,2.938
WPMH4M,moluccana,high,mistletoe,2.2,3.215,,56.55,0.986
WPFL2E,fibrosa,low,eucalypt,2,5.942,,139.25,3.03
WPFL1E,fibrosa,low,eucalypt,1.8,6.555,,144.2,3.43
WPMH2E,moluccana,high,eucalypt,1.95,8.189,,181.4,3.738
WPMH2M,moluccana,high,mistletoe,2.2,4.203,,36.5,1.121
WPMH3M,moluccana,high,mistletoe,2.55,2.291,,33.55,0.718
WPFL3M,fibrosa,low,mistletoe,2.3,5.255,,64,1.75
WPML4E,moluccana,low,eucalypt,2.95,5.037,2.4,109.8,2.543
WPML4M,moluccana,low,mistletoe,2.55,4.537,,75.65,1.532
WPFH3E,fibrosa,high,eucalypt,2.05,6.041,,136.25,3.135
WPMELA1,melaleuca,control,melaleuca,3.1,4.071,,84.4,1.732
